,1,2,3,4,5,6,7,8,9,10
167,12.3,6.6,31.7,5.4,15.3,41.9,99.5,79.4,35.9,77
168,1.8,1.2,3.9,16.8,10.7,15.6,3.3,11.6,3.9,2.7
169,640.1,843.3,1233.7,1270.8,1897.5,2366.7,1312.1,1270.3,925.6,947.7
170,6.6,9.6,17,41,18.4,25.8,42.3,18.4,17.1,28.3
171,453.3,467,658.7,841.1,764.6,1191.7,900.7,663.4,575.8,495.8
172,258.7,249.6,353.1,326.1,446,673.5,415.5,500.1,465.5,423.5
173,1998.8,2615.6,4789.5,4534.4,4930.1,5949,1943.2,2312,1562.6,1904.2
174,0,0,0,0,0,0,45.9,48.9,0,31.2
175,41.3,41.9,58.7,74.1,85.9,41.9,83.7,115.7,170.1,72.1
176,546.8,662.2,1166,967.5,1216.7,1396.2,847.8,1253,794.9,896.7
177,7.7,2.9,1.7,0.1,2.7,27.4,26.5,10.4,39.5,24.3
178,3.4,4.3,20.2,11.8,40.7,20.9,44.8,97.9,49.5,27.8
179,106.3,98.2,188.1,231.5,223.1,318.9,158.3,184.9,181,218
180,227.2,289,481.3,492.1,430.7,779.5,567.3,701.7,708.5,489.9
181,1.2,3.6,1.8,0.3,21.2,19.3,2.4,6.4,7.9,10.6
182,131.3,122.3,201.4,161.6,128,261.1,353,339.5,362.2,314.9
183,91.1,92.2,78.9,33.3,119.5,107.1,189.2,204.9,294.3,352.1
184,233,161.4,263.4,326.8,374.9,383.1,730.9,832.6,699.2,951
185,30.1,21.5,83.1,33.6,120.1,89.7,4.4,0,0,0
186,127.3,107.8,123.3,132.9,192.3,260.9,32.9,25.9,60.9,110.5
187,1.9,4.3,3.7,18.2,14.8,26.3,39.5,21.9,36.2,46.6
188,0.9,0,0.1,0,0,3.2,200.3,178.7,86.6,88.1
189,140.1,106.6,335,229.1,402.1,297.4,37.3,117.1,32.9,176.9
190,100.5,169.4,279.3,287.4,331.8,357.9,408.3,187.5,194.2,400.3
191,13,25.4,41.5,29.4,35.9,50.4,104,79.2,36.5,53.1
192,0,0,0,0,0,0,0,0,0,0
193,82.7,96.7,221.9,235.9,207,277,92,181.9,50.4,64.4
194,29.2,27.1,41.6,21.3,54.6,162.8,32.9,10.5,43,114.5
195,0,0,0,0,0,0,0,0,0,0
196,122.5,223.9,315.7,309,428.1,559.5,139.3,314.6,260.8,137.5
197,0,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0,0
199,0,3,1.9,3.3,1.7,8,2.5,1.1,0,32.2
200,0,0,0,0.7,0,0,0,0,0,0
201,2.4,3.3,5.1,5.2,3.6,5.5,3.2,5.3,10.8,12
202,0.2,0,0,0,0.6,0,3.8,0,0.7,0.5
203,0,0,0,0,0,0,0,0,0,0
204,3.5,4.1,7.8,4.9,11.5,23.7,28.7,3.3,9.4,66.3
205,0,0,2.1,0,0,0,0,0,7.8,0
206,32,31.6,35.1,36.1,24.1,30.3,20.7,25.8,40.5,58.1
